seno,cosseno,angulo
-0.05139,0.01271,-0.30678
0.00000,0.00000,-0.30791
-0.05099,0.01448,-0.30904
0.00000,0.00000,-0.31017
-0.05043,0.01625,-0.31130
-0.05043,0.01625,-0.31243
0.00000,0.00000,-0.31356
-0.04969,0.01802,-0.31469
-0.04969,0.01802,-0.31582
0.00000,0.00000,-0.31695
-0.04879,0.01980,-0.31809
0.00000,0.00000,-0.31922
-0.04771,0.02157,-0.32035
-0.04771,0.02157,-0.32148
0.00000,0.00000,-0.32261
-0.04645,0.02334,-0.32374
-0.04645,0.02334,-0.32487
0.00000,0.00000,-0.32600
-0.04503,0.02511,-0.32713
0.00000,0.00000,-0.32826
-0.04344,0.02687,-0.32940
-0.04344,0.02687,-0.33053
0.00000,0.00000,-0.33166
-0.04169,0.02862,-0.33279
-0.04169,0.02862,-0.33392
0.00000,0.00000,-0.33505
-0.03977,0.03035,-0.33618
0.00000,0.00000,-0.33731
-0.03770,0.03206,-0.33844
-0.03770,0.03206,-0.33957
0.00000,0.00000,-0.34071
-0.03547,0.03375,-0.34184
-0.03547,0.03375,-0.34297
0.00000,0.00000,-0.34410
-0.03311,0.03540,-0.34523
0.00000,0.00000,-0.34636
-0.03061,0.03702,-0.34749
-0.03061,0.03702,-0.34862
0.00000,0.00000,-0.34975
-0.02799,0.03859,-0.35088
-0.02799,0.03859,-0.35202
0.00000,0.00000,-0.35315
-0.02525,0.04011,-0.35428
0.00000,0.00000,-0.35541
-0.02240,0.04157,-0.35654
-0.02240,0.04157,-0.35767
0.00000,0.00000,-0.35880
-0.01946,0.04297,-0.35993
-0.01946,0.04297,-0.36106
0.00000,0.00000,-0.36219
-0.01644,0.04429,-0.36333
0.00000,0.00000,-0.36446
-0.01335,0.04552,-0.36559
-0.01335,0.04552,-0.36672
0.00000,0.00000,-0.36785
-0.01020,0.04667,-0.36898
0.00000,0.00000,-0.37011
-0.00700,0.04772,-0.37124
-0.00700,0.04772,-0.37237
0.00000,0.00000,
-0.00378,0.04867,
-0.00378,0.04867,
0.00000,0.00000,
-0.00053,0.04950,
0.00000,0.00000,
0.00272,0.05020,
0.00272,0.05020,
0.00000,0.00000,
0.00596,0.05078,
0.00596,0.05078,
0.00000,0.00000,
0.00917,0.05122,
0.00000,0.00000,
0.01235,0.05152,
0.01235,0.05152,
0.00000,0.00000,
0.01548,0.05167,
0.01548,0.05167,
0.00000,0.00000,
0.01855,0.05167,
0.00000,0.00000,
0.02154,0.05150,
0.02154,0.05150,
0.00000,0.00000,
0.02444,0.05118,
0.02444,0.05118,
0.00000,0.00000,
0.02724,0.05068,
0.00000,0.00000,
0.02993,0.05002,
0.02993,0.05002,
0.00000,0.00000,
0.03251,0.04918,
0.03251,0.04918,
0.00000,0.00000,
0.03495,0.04818,
0.00000,0.00000,
0.03725,0.04700,
0.03725,0.04700,
0.00000,0.00000,
0.03941,0.04564,
0.03941,0.04564,
0.00000,0.00000,
0.04142,0.04412,
0.00000,0.00000,
0.04326,0.04243,
0.04326,0.04243,
0.00000,0.00000,
0.04495,0.04058,
0.04495,0.04058,
0.00000,0.00000,
0.04646,0.03858,
0.00000,0.00000,
0.04781,0.03642,
0.04781,0.03642,
0.00000,0.00000,
0.04898,0.03411,
0.04898,0.03411,
0.00000,0.00000,
0.04997,0.03167,
0.00000,0.00000,
0.05080,0.02909,
0.05080,0.02909,
0.00000,0.00000,
0.05145,0.02640,
0.05145,0.02640,
0.00000,0.00000,
0.05192,0.02360,
0.00000,0.00000,
0.05223,0.02070,
0.05223,0.02070,
0.00000,0.00000,
0.05238,0.01771,
0.05238,0.01771,
0.00000,0.00000,
0.05236,0.01464,
0.00000,0.00000,
0.05219,0.01151,
0.05219,0.01151,
0.00000,0.00000,
0.05186,0.00834,
0.05186,0.00834,
0.00000,0.00000,
0.05139,0.00512,
0.00000,0.00000,
0.05078,0.00188,
0.05078,0.00188,
0.00000,0.00000,
0.05004,-0.00137,
0.05004,-0.00137,
0.00000,0.00000,
0.04918,-0.00461,
0.00000,0.00000,
0.04820,-0.00784,
0.04820,-0.00784,
0.00000,0.00000,
0.04711,-0.01103,
0.00000,0.00000,
0.04593,-0.01419,
0.04593,-0.01419,
0.00000,0.00000,
0.04465,-0.01728,
0.04465,-0.01728,
0.00000,0.00000,
0.04329,-0.02030,
0.00000,0.00000,
0.04185,-0.02324,
0.04185,-0.02324,
0.00000,0.00000,
0.04035,-0.02609,
0.04035,-0.02609,
0.00000,0.00000,
0.03878,-0.02883,
0.00000,0.00000,
0.03717,-0.03145,
0.03717,-0.03145,
0.00000,0.00000,
0.03551,-0.03395,
0.03551,-0.03395,
0.00000,0.00000,
0.03381,-0.03631,
0.00000,0.00000,
0.03208,-0.03853,
0.03208,-0.03853,
0.00000,0.00000,
0.03033,-0.04060,
0.03033,-0.04060,
0.00000,0.00000,
0.02855,-0.04252,
0.00000,0.00000,
0.02677,-0.04427,
0.02677,-0.04427,
0.00000,0.00000,
0.02497,-0.04585,
0.02497,-0.04585,
0.00000,0.00000,
0.02316,-0.04727,
0.00000,0.00000,
0.02135,-0.04851,
0.02135,-0.04851,
0.00000,0.00000,
0.01954,-0.04958,
0.01954,-0.04958,
0.00000,0.00000,
0.01774,-0.05048,
0.00000,0.00000,
