Thread, Chamada, T(k), Jitter(k)
Simulacao, 396, 0.010444, 0.000444
Simulacao, 397, 0.010415, 0.000415
Simulacao, 398, 0.010220, 0.000220
Simulacao, 399, 0.010444, 0.000444
Simulacao, 400, 0.010181, 0.000181
Simulacao, 401, 0.010397, 0.000397
Simulacao, 402, 0.010274, 0.000274
Simulacao, 403, 0.010435, 0.000435
Simulacao, 404, 0.010401, 0.000401
Simulacao, 405, 0.010246, 0.000246
Simulacao, 406, 0.010473, 0.000473
Simulacao, 407, 0.010381, 0.000381
Simulacao, 408, 0.010200, 0.000200
Simulacao, 409, 0.010486, 0.000486
Simulacao, 410, 0.010371, 0.000371
Simulacao, 411, 0.010370, 0.000370
Simulacao, 412, 0.010494, 0.000494
Simulacao, 413, 0.010422, 0.000422
Simulacao, 414, 0.010192, 0.000192
Simulacao, 415, 0.010397, 0.000397
Simulacao, 416, 0.010408, 0.000408
Simulacao, 417, 0.010384, 0.000384
Simulacao, 418, 0.010425, 0.000425
Simulacao, 419, 0.010372, 0.000372
Simulacao, 420, 0.010487, 0.000487
Simulacao, 421, 0.010397, 0.000397
Simulacao, 422, 0.010223, 0.000223
Simulacao, 423, 0.010267, 0.000267
Simulacao, 424, 0.010411, 0.000411
Simulacao, 425, 0.010199, 0.000199
Simulacao, 426, 0.010211, 0.000211
Simulacao, 427, 0.010130, 0.000130
Simulacao, 428, 0.010146, 0.000146
Simulacao, 429, 0.010221, 0.000221
Simulacao, 430, 0.010378, 0.000378
Simulacao, 431, 0.010227, 0.000227
Simulacao, 432, 0.010422, 0.000422
Simulacao, 433, 0.010443, 0.000443
Simulacao, 434, 0.010253, 0.000253
Simulacao, 435, 0.010400, 0.000400
Simulacao, 436, 0.010382, 0.000382
Simulacao, 437, 0.010278, 0.000278
Simulacao, 438, 0.010469, 0.000469
Simulacao, 439, 0.010478, 0.000478
Simulacao, 440, 0.010370, 0.000370
Simulacao, 441, 0.010398, 0.000398
Simulacao, 442, 0.010487, 0.000487
Simulacao, 443, 0.011141, 0.001141
Simulacao, 444, 0.010513, 0.000513
Simulacao, 445, 0.010485, 0.000485
Simulacao, 446, 0.010282, 0.000282
Simulacao, 447, 0.010502, 0.000502
Simulacao, 448, 0.010274, 0.000274
Simulacao, 449, 0.010444, 0.000444
Simulacao, 450, 0.010174, 0.000174
Simulacao, 451, 0.010441, 0.000441
Simulacao, 452, 0.010219, 0.000219
Simulacao, 453, 0.010132, 0.000132
Simulacao, 454, 0.010404, 0.000404
Simulacao, 455, 0.010371, 0.000371
Simulacao, 456, 0.010409, 0.000409
Simulacao, 457, 0.010380, 0.000380
Simulacao, 458, 0.010217, 0.000217
Simulacao, 459, 0.010467, 0.000467
Simulacao, 460, 0.010466, 0.000466
Simulacao, 461, 0.010367, 0.000367
Simulacao, 462, 0.010366, 0.000366
Simulacao, 463, 0.010480, 0.000480
Simulacao, 464, 0.010412, 0.000412
Simulacao, 465, 0.010250, 0.000250
Simulacao, 466, 0.010169, 0.000169
Simulacao, 467, 0.010179, 0.000179
Simulacao, 468, 0.010162, 0.000162
Simulacao, 469, 0.010424, 0.000424
Simulacao, 470, 0.010349, 0.000349
Simulacao, 471, 0.010352, 0.000352
Simulacao, 472, 0.010404, 0.000404
Simulacao, 473, 0.010184, 0.000184
Simulacao, 474, 0.010368, 0.000368
Simulacao, 475, 0.010185, 0.000185
Simulacao, 476, 0.010286, 0.000286
Simulacao, 477, 0.010481, 0.000481
Simulacao, 478, 0.010364, 0.000364
Simulacao, 479, 0.010356, 0.000356
Simulacao, 480, 0.010371, 0.000371
Simulacao, 481, 0.010506, 0.000506
Simulacao, 482, 0.010153, 0.000153
Simulacao, 483, 0.010151, 0.000151
Simulacao, 484, 0.010200, 0.000200
Simulacao, 485, 0.010430, 0.000430
Simulacao, 486, 0.010467, 0.000467
Simulacao, 487, 0.010471, 0.000471
Simulacao, 488, 0.010277, 0.000277
Simulacao, 489, 0.010420, 0.000420
Simulacao, 490, 0.010143, 0.000143
Simulacao, 491, 0.010376, 0.000376
Simulacao, 492, 0.010451, 0.000451
Simulacao, 493, 0.010415, 0.000415
Simulacao, 494, 0.010455, 0.000455
Simulacao, 495, 0.010370, 0.000370
Simulacao, 496, 0.010393, 0.000393
Simulacao, 497, 0.010572, 0.000572
Simulacao, 498, 0.010580, 0.000580
Simulacao, 499, 0.010213, 0.000213
Simulacao, 500, 0.010139, 0.000139
Simulacao, 501, 0.010459, 0.000459
Simulacao, 502, 0.010479, 0.000479
Simulacao, 503, 0.010221, 0.000221
Simulacao, 504, 0.010481, 0.000481
Simulacao, 505, 0.010363, 0.000363
Simulacao, 506, 0.010258, 0.000258
Simulacao, 507, 0.010343, 0.000343
Simulacao, 508, 0.010374, 0.000374
Simulacao, 509, 0.010481, 0.000481
Simulacao, 510, 0.010240, 0.000240
Simulacao, 511, 0.010342, 0.000342
Simulacao, 512, 0.010406, 0.000406
Simulacao, 513, 0.010503, 0.000503
Simulacao, 514, 0.010469, 0.000469
Simulacao, 515, 0.010271, 0.000271
Simulacao, 516, 0.010475, 0.000475
Simulacao, 517, 0.010378, 0.000378
Simulacao, 518, 0.010412, 0.000412
Simulacao, 519, 0.010479, 0.000479
Simulacao, 520, 0.010523, 0.000523
Simulacao, 521, 0.010172, 0.000172
Simulacao, 522, 0.010484, 0.000484
Simulacao, 523, 0.010503, 0.000503
Simulacao, 524, 0.010407, 0.000407
Simulacao, 525, 0.010144, 0.000144
Simulacao, 526, 0.010456, 0.000456
Simulacao, 527, 0.010461, 0.000461
Simulacao, 528, 0.010471, 0.000471
Simulacao, 529, 0.010364, 0.000364
Simulacao, 530, 0.010434, 0.000434
Simulacao, 531, 0.010333, 0.000333
Simulacao, 532, 0.010232, 0.000232
Simulacao, 533, 0.010355, 0.000355
Simulacao, 534, 0.010454, 0.000454
Simulacao, 535, 0.010269, 0.000269
Simulacao, 536, 0.010164, 0.000164
Simulacao, 537, 0.010449, 0.000449
Simulacao, 538, 0.010214, 0.000214
Simulacao, 539, 0.010256, 0.000256
Simulacao, 540, 0.010541, 0.000541
Simulacao, 541, 0.010273, 0.000273
Simulacao, 542, 0.010333, 0.000333
Simulacao, 543, 0.010446, 0.000446
Simulacao, 544, 0.010366, 0.000366
Simulacao, 545, 0.010142, 0.000142
Simulacao, 546, 0.010428, 0.000428
Simulacao, 547, 0.010474, 0.000474
Simulacao, 548, 0.010461, 0.000461
Simulacao, 549, 0.010401, 0.000401
Simulacao, 550, 0.010142, 0.000142
Simulacao, 551, 0.010458, 0.000458
Simulacao, 552, 0.010461, 0.000461
Simulacao, 553, 0.010231, 0.000231
Simulacao, 554, 0.010362, 0.000362
Simulacao, 555, 0.010518, 0.000518
Simulacao, 556, 0.010464, 0.000464
Simulacao, 557, 0.010475, 0.000475
Simulacao, 558, 0.010382, 0.000382
Simulacao, 559, 0.010295, 0.000295
Simulacao, 560, 0.010225, 0.000225
Simulacao, 561, 0.010379, 0.000379
Simulacao, 562, 0.010251, 0.000251
Simulacao, 563, 0.010399, 0.000399
Simulacao, 564, 0.010402, 0.000402
