Tempo, ymy
11.58, 0.4744
11.59, 0.4722
11.60, 0.4700
11.61, 0.4677
11.62, 0.4655
11.63, 0.4632
11.64, 0.4609
11.65, 0.4586
11.66, 0.4563
11.67, 0.4539
11.68, 0.4516
11.69, 0.4492
11.70, 0.4468
11.71, 0.4444
11.72, 0.4419
11.73, 0.4395
11.74, 0.4370
11.75, 0.4346
11.76, 0.4321
11.77, 0.4296
11.78, 0.4270
11.79, 0.4245
11.80, 0.4220
11.81, 0.4194
11.82, 0.4168
11.83, 0.4142
11.84, 0.4116
11.85, 0.4090
11.86, 0.4063
11.87, 0.4037
11.88, 0.4010
11.89, 0.3983
11.90, 0.3956
11.91, 0.3929
11.92, 0.3902
11.93, 0.3874
11.94, 0.3847
11.95, 0.3819
11.96, 0.3791
11.97, 0.3763
11.98, 0.3735
11.99, 0.3707
12.00, 0.3679
12.01, 0.3650
12.02, 0.3621
12.03, 0.3593
12.04, 0.3564
12.05, 0.3535
12.06, 0.3506
12.07, 0.3476
12.08, 0.3447
12.09, 0.3417
12.10, 0.3388
12.11, 0.3358
12.12, 0.3328
12.13, 0.3298
12.14, 0.3268
12.15, 0.3238
12.16, 0.3207
12.17, 0.3177
12.18, 0.3146
12.19, 0.3116
12.20, 0.3085
12.21, 0.3054
12.22, 0.3023
12.23, 0.2992
12.24, 0.2960
12.25, 0.2929
12.26, 0.2897
12.27, 0.2866
12.28, 0.2834
12.29, 0.2802
12.30, 0.2771
12.31, 0.2739
12.32, 0.2707
12.33, 0.2674
12.34, 0.2642
12.35, 0.2610
12.36, 0.2577
12.37, 0.2545
12.38, 0.2512
12.39, 0.2479
12.40, 0.2446
12.41, 0.2414
12.42, 0.2381
12.43, 0.2347
12.44, 0.2314
12.45, 0.2281
12.46, 0.2248
12.47, 0.2214
12.48, 0.2181
12.49, 0.2147
12.50, 0.2114
12.51, 0.2080
12.52, 0.2046
12.53, 0.2012
12.54, 0.1978
12.55, 0.1944
12.56, 0.1910
12.57, 0.1876
12.58, 0.1842
12.59, 0.1807
12.60, 0.1773
12.61, 0.1739
12.62, 0.1704
12.63, 0.1670
12.64, 0.1635
12.65, 0.1600
12.66, 0.1566
12.67, 0.1531
12.68, 0.1496
12.69, 0.1461
12.70, 0.1426
12.71, 0.1391
12.72, 0.1356
12.73, 0.1321
12.74, 0.1286
12.75, 0.1251
12.76, 0.1215
12.77, 0.1180
12.78, 0.1145
12.79, 0.1109
12.80, 0.1074
12.81, 0.1039
12.82, 0.1003
12.83, 0.0968
12.84, 0.0932
12.85, 0.0897
12.86, 0.0861
12.87, 0.0825
12.88, 0.0790
12.89, 0.0754
12.90, 0.0718
12.91, 0.0682
12.92, 0.0647
12.93, 0.0611
12.94, 0.0575
12.95, 0.0539
12.96, 0.0503
12.97, 0.0467
12.98, 0.0432
12.99, 0.0396
13.00, 0.0360
13.01, 0.0324
13.02, 0.0288
13.03, 0.0252
13.04, 0.0216
13.05, 0.0180
13.06, 0.0144
13.07, 0.0108
13.08, 0.0072
13.09, 0.0036
13.10, -0.0000
13.11, -0.0036
13.12, -0.0072
13.13, -0.0108
13.14, -0.0144
13.15, -0.0180
13.16, -0.0216
13.17, -0.0252
13.18, -0.0288
13.19, -0.0324
13.20, -0.0360
13.21, -0.0396
13.22, -0.0432
13.23, -0.0468
13.24, -0.0504
13.25, -0.0539
13.26, -0.0575
13.27, -0.0611
13.28, -0.0647
13.29, -0.0683
13.30, -0.0718
13.31, -0.0754
13.32, -0.0790
13.33, -0.0825
13.34, -0.0861
13.35, -0.0897
13.36, -0.0932
13.37, -0.0968
13.38, -0.1003
13.39, -0.1039
13.40, -0.1074
13.41, -0.1110
13.42, -0.1145
13.43, -0.1180
13.44, -0.1216
13.45, -0.1251
13.46, -0.1286
13.47, -0.1321
13.48, -0.1356
13.49, -0.1391
13.50, -0.1426
