Tempo,VelLinear(v),VelAngular(w),PosX_Frente(x),PosY_Frente(y)
7.770000,1.000000,0.628319,-1.527271,1.219005
7.800000,1.000000,0.628319,-1.514807,1.170431
7.830000,1.000000,0.628319,-1.514807,1.170431
7.860000,1.000000,0.628319,-1.500824,1.122272
7.890000,1.000000,0.628319,-1.485335,1.074576
7.920000,1.000000,0.628319,-1.485335,1.074576
7.950000,1.000000,0.628319,-1.468355,1.027390
7.980000,1.000000,0.628319,-1.468355,1.027390
8.010000,1.000000,0.628319,-1.449902,0.980761
8.040000,1.000000,0.628319,-1.429993,0.934735
8.070000,1.000000,0.628319,-1.429993,0.934735
8.100000,1.000000,0.628319,-1.408648,0.889356
8.130000,1.000000,0.628319,-1.408648,0.889356
8.160000,1.000000,0.628319,-1.385888,0.844671
8.190000,1.000000,0.628319,-1.361736,0.800722
8.220000,1.000000,0.628319,-1.361736,0.800722
8.250000,1.000000,0.628319,-1.336215,0.757554
8.280000,1.000000,0.628319,-1.336215,0.757554
8.310000,1.000000,0.628319,-1.309351,0.715208
8.340000,1.000000,0.628319,-1.281171,0.673728
8.370000,1.000000,0.628319,-1.281171,0.673728
8.400000,1.000000,0.628319,-1.251701,0.633153
8.430000,1.000000,0.628319,-1.251701,0.633153
8.460000,1.000000,0.628319,-1.220971,0.593524
8.490000,1.000000,0.628319,-1.189011,0.554879
8.520000,1.000000,0.628319,-1.189011,0.554879
8.550000,1.000000,0.628319,-1.155854,0.517258
8.580000,1.000000,0.628319,-1.155854,0.517258
8.610000,1.000000,0.628319,-1.121531,0.480696
8.640000,1.000000,0.628319,-1.086077,0.445231
8.670000,1.000000,0.628319,-1.086077,0.445231
8.700000,1.000000,0.628319,-1.049526,0.410897
8.730000,1.000000,0.628319,-1.049526,0.410897
8.760000,1.000000,0.628319,-1.011914,0.377727
8.790000,1.000000,0.628319,-0.973280,0.345756
8.820000,1.000000,0.628319,-0.973280,0.345756
8.850000,1.000000,0.628319,-0.933660,0.315014
8.880000,1.000000,0.628319,-0.933660,0.315014
8.910000,1.000000,0.628319,-0.893094,0.285531
8.940000,1.000000,0.628319,-0.851622,0.257338
8.970000,1.000000,0.628319,-0.851622,0.257338
9.000000,1.000000,0.628319,-0.809285,0.230461
9.030000,1.000000,0.628319,-0.809285,0.230461
9.060000,1.000000,0.628319,-0.766125,0.204927
9.090000,1.000000,0.628319,-0.722184,0.180761
9.120000,1.000000,0.628319,-0.722184,0.180761
9.150000,1.000000,0.628319,-0.677505,0.157988
9.180000,1.000000,0.628319,-0.677505,0.157988
9.210000,1.000000,0.628319,-0.632133,0.136629
9.240000,1.000000,0.628319,-0.586113,0.116705
9.270000,1.000000,0.628319,-0.586113,0.116705
9.300000,1.000000,0.628319,-0.539490,0.098238
9.330000,1.000000,0.628319,-0.539490,0.098238
9.360000,1.000000,0.628319,-0.492309,0.081243
9.390000,1.000000,0.628319,-0.444618,0.065739
9.420000,1.000000,0.628319,-0.444618,0.065739
9.450000,1.000000,0.628319,-0.396464,0.051741
9.480000,1.000000,0.628319,-0.396464,0.051741
9.510000,1.000000,0.628319,-0.347893,0.039262
9.540000,1.000000,0.628319,-0.298955,0.028315
9.570000,1.000000,0.628319,-0.298955,0.028315
9.600000,1.000000,0.628319,-0.249697,0.018911
9.630000,1.000000,0.628319,-0.249697,0.018911
9.660000,1.000000,0.628319,-0.200168,0.011059
9.690000,1.000000,0.628319,-0.150416,0.004766
9.720000,1.000000,0.628319,-0.150416,0.004766
9.750000,1.000000,0.628319,-0.100492,0.000039
9.780000,1.000000,0.628319,-0.100492,0.000039
9.810000,1.000000,0.628319,-0.050443,-0.003118
9.840000,1.000000,0.628319,-0.000320,-0.004701
9.870000,1.000000,0.628319,-0.000320,-0.004701
9.900000,1.000000,0.628319,0.049827,-0.004709
9.930000,1.000000,0.628319,0.049827,-0.004709
9.960000,1.000000,0.628319,0.099951,-0.003141
9.990000,1.000000,0.628319,0.150000,-0.000000
10.020000,1.000000,-0.628319,0.150000,-0.000000
10.050000,1.000000,-0.628319,0.199926,-0.004712
10.080000,1.000000,-0.628319,0.199926,-0.004712
