Tempo, Xref, Yref
3.42, 0.9903, -0.4628
3.43, 0.9896, -0.4682
3.44, 0.9889, -0.4735
3.45, 0.9881, -0.4787
3.46, 0.9874, -0.4840
3.47, 0.9865, -0.4892
3.48, 0.9857, -0.4945
3.49, 0.9849, -0.4997
3.50, 0.9840, -0.5048
3.51, 0.9831, -0.5100
3.52, 0.9822, -0.5152
3.53, 0.9812, -0.5203
3.54, 0.9802, -0.5254
3.55, 0.9792, -0.5305
3.56, 0.9782, -0.5356
3.57, 0.9771, -0.5406
3.58, 0.9761, -0.5457
3.59, 0.9750, -0.5507
3.60, 0.9738, -0.5557
3.61, 0.9727, -0.5607
3.62, 0.9715, -0.5656
3.63, 0.9703, -0.5706
3.64, 0.9691, -0.5755
3.65, 0.9679, -0.5804
3.66, 0.9666, -0.5853
3.67, 0.9653, -0.5901
3.68, 0.9640, -0.5950
3.69, 0.9626, -0.5998
3.70, 0.9613, -0.6046
3.71, 0.9599, -0.6093
3.72, 0.9585, -0.6141
3.73, 0.9570, -0.6188
3.74, 0.9556, -0.6235
3.75, 0.9541, -0.6282
3.76, 0.9526, -0.6328
3.77, 0.9510, -0.6375
3.78, 0.9495, -0.6421
3.79, 0.9479, -0.6467
3.80, 0.9463, -0.6512
3.81, 0.9447, -0.6558
3.82, 0.9430, -0.6603
3.83, 0.9413, -0.6648
3.84, 0.9396, -0.6693
3.85, 0.9379, -0.6737
3.86, 0.9362, -0.6781
3.87, 0.9344, -0.6825
3.88, 0.9326, -0.6869
3.89, 0.9308, -0.6912
3.90, 0.9290, -0.6956
3.91, 0.9271, -0.6999
3.92, 0.9252, -0.7041
3.93, 0.9233, -0.7084
3.94, 0.9214, -0.7126
3.95, 0.9194, -0.7168
3.96, 0.9174, -0.7210
3.97, 0.9154, -0.7251
3.98, 0.9134, -0.7292
3.99, 0.9114, -0.7333
4.00, 0.9093, -0.7374
4.01, 0.9072, -0.7414
4.02, 0.9051, -0.7454
4.03, 0.9030, -0.7494
4.04, 0.9008, -0.7534
4.05, 0.8986, -0.7573
4.06, 0.8964, -0.7612
4.07, 0.8942, -0.7651
4.08, 0.8919, -0.7690
4.09, 0.8897, -0.7728
4.10, 0.8874, -0.7766
4.11, 0.8850, -0.7803
4.12, 0.8827, -0.7841
4.13, 0.8803, -0.7878
4.14, 0.8780, -0.7915
4.15, 0.8756, -0.7951
4.16, 0.8731, -0.7987
4.17, 0.8707, -0.8023
4.18, 0.8682, -0.8059
4.19, 0.8657, -0.8094
4.20, 0.8632, -0.8130
4.21, 0.8607, -0.8164
4.22, 0.8581, -0.8199
4.23, 0.8555, -0.8233
4.24, 0.8529, -0.8267
4.25, 0.8503, -0.8301
4.26, 0.8477, -0.8334
4.27, 0.8450, -0.8367
4.28, 0.8423, -0.8400
4.29, 0.8396, -0.8432
4.30, 0.8369, -0.8464
4.31, 0.8342, -0.8496
4.32, 0.8314, -0.8527
4.33, 0.8286, -0.8559
4.34, 0.8258, -0.8589
4.35, 0.8230, -0.8620
4.36, 0.8201, -0.8650
4.37, 0.8172, -0.8680
4.38, 0.8143, -0.8710
4.39, 0.8114, -0.8739
4.40, 0.8085, -0.8768
4.41, 0.8055, -0.8797
4.42, 0.8026, -0.8825
4.43, 0.7996, -0.8853
4.44, 0.7966, -0.8881
4.45, 0.7935, -0.8908
4.46, 0.7905, -0.8936
4.47, 0.7874, -0.8962
4.48, 0.7843, -0.8989
4.49, 0.7812, -0.9015
4.50, 0.7781, -0.9041
4.51, 0.7749, -0.9066
4.52, 0.7718, -0.9091
4.53, 0.7686, -0.9116
4.54, 0.7654, -0.9141
4.55, 0.7621, -0.9165
4.56, 0.7589, -0.9189
4.57, 0.7556, -0.9212
4.58, 0.7523, -0.9235
4.59, 0.7490, -0.9258
4.60, 0.7457, -0.9281
4.61, 0.7424, -0.9303
4.62, 0.7390, -0.9325
4.63, 0.7356, -0.9346
4.64, 0.7322, -0.9367
4.65, 0.7288, -0.9388
4.66, 0.7254, -0.9409
4.67, 0.7219, -0.9429
4.68, 0.7185, -0.9449
4.69, 0.7150, -0.9468
4.70, 0.7115, -0.9487
4.71, 0.7080, -0.9506
4.72, 0.7044, -0.9525
4.73, 0.7009, -0.9543
4.74, 0.6973, -0.9560
4.75, 0.6937, -0.9578
4.76, 0.6901, -0.9595
4.77, 0.6864, -0.9612
4.78, 0.6828, -0.9628
4.79, 0.6791, -0.9644
4.80, 0.6755, -0.9660
4.81, 0.6718, -0.9675
4.82, 0.6681, -0.9690
4.83, 0.6643, -0.9705
4.84, 0.6606, -0.9719
4.85, 0.6568, -0.9733
4.86, 0.6530, -0.9747
4.87, 0.6492, -0.9760
4.88, 0.6454, -0.9773
4.89, 0.6416, -0.9785
4.90, 0.6378, -0.9797
4.91, 0.6339, -0.9809
4.92, 0.6300, -0.9821
4.93, 0.6261, -0.9832
4.94, 0.6222, -0.9843
4.95, 0.6183, -0.9853
4.96, 0.6144, -0.9863
4.97, 0.6104, -0.9873
4.98, 0.6065, -0.9882
4.99, 0.6025, -0.9891
5.00, 0.5985, -0.9900
5.01, 0.5945, -0.9908
5.02, 0.5904, -0.9916
5.03, 0.5864, -0.9924
5.04, 0.5823, -0.9931
5.05, 0.5783, -0.9938
5.06, 0.5742, -0.9944
5.07, 0.5701, -0.9950
5.08, 0.5660, -0.9956
5.09, 0.5618, -0.9962
5.10, 0.5577, -0.9967
5.11, 0.5535, -0.9971
5.12, 0.5494, -0.9976
5.13, 0.5452, -0.9980
5.14, 0.5410, -0.9983
5.15, 0.5368, -0.9987
5.16, 0.5325, -0.9990
5.17, 0.5283, -0.9992
5.18, 0.5240, -0.9994
5.19, 0.5198, -0.9996
5.20, 0.5155, -0.9998
5.21, 0.5112, -0.9999
5.22, 0.5069, -1.0000
5.23, 0.5026, -1.0000
5.24, 0.4983, -1.0000
5.25, 0.4939, -1.0000
5.26, 0.4896, -0.9999
5.27, 0.4852, -0.9998
5.28, 0.4808, -0.9997
5.29, 0.4764, -0.9995
5.30, 0.4720, -0.9993
5.31, 0.4676, -0.9990
5.32, 0.4632, -0.9987
5.33, 0.4588, -0.9984
5.34, 0.4543, -0.9981
5.35, 0.4498, -0.9977
5.36, 0.4454, -0.9972
5.37, 0.4409, -0.9968
5.38, 0.4364, -0.9963
5.39, 0.4319, -0.9957
5.40, 0.4274, -0.9952
5.41, 0.4229, -0.9946
5.42, 0.4183, -0.9939
5.43, 0.4138, -0.9932
5.44, 0.4092, -0.9925
5.45, 0.4046, -0.9918
5.46, 0.4001, -0.9910
5.47, 0.3955, -0.9902
5.48, 0.3909, -0.9893
5.49, 0.3863, -0.9884
5.50, 0.3817, -0.9875
5.51, 0.3770, -0.9865
5.52, 0.3724, -0.9855
5.53, 0.3678, -0.9845
5.54, 0.3631, -0.9834
5.55, 0.3584, -0.9823
5.56, 0.3538, -0.9812
5.57, 0.3491, -0.9800
5.58, 0.3444, -0.9788
5.59, 0.3397, -0.9775
5.60, 0.3350, -0.9762
5.61, 0.3303, -0.9749
5.62, 0.3255, -0.9736
5.63, 0.3208, -0.9722
5.64, 0.3161, -0.9708
5.65, 0.3113, -0.9693
5.66, 0.3066, -0.9678
5.67, 0.3018, -0.9663
5.68, 0.2970, -0.9647
5.69, 0.2923, -0.9631
5.70, 0.2875, -0.9615
5.71, 0.2827, -0.9598
5.72, 0.2779, -0.9581
