Tempo, Posicao X, Posicao Y, Orientacao
5.070000, -0.953267, 0.750058, 4.970000
5.100000, -0.945335, 0.721126, 5.000000
5.130000, -0.936538, 0.692446, 5.030000
5.160000, -0.926885, 0.664043, 5.060000
5.190000, -0.916384, 0.635942, 5.090000
5.220000, -0.905045, 0.608168, 5.120000
5.250000, -0.892878, 0.580747, 5.150000
5.280000, -0.879894, 0.553704, 5.180000
5.310000, -0.870790, 0.535896, 5.200000
5.340000, -0.856471, 0.509535, 5.230000
5.370000, -0.841367, 0.483616, 5.260000
5.400000, -0.825493, 0.458161, 5.290000
5.430000, -0.808862, 0.433194, 5.320000
5.460000, -0.791490, 0.408737, 5.350000
5.490000, -0.773392, 0.384812, 5.380000
5.520000, -0.754585, 0.361440, 5.410000
5.550000, -0.735085, 0.338644, 5.440000
5.580000, -0.714910, 0.316442, 5.470000
5.610000, -0.694078, 0.294855, 5.500000
5.640000, -0.672608, 0.273904, 5.530000
5.670000, -0.650519, 0.253605, 5.560000
5.700000, -0.627831, 0.233978, 5.590000
5.730000, -0.604565, 0.215041, 5.620000
5.760000, -0.580741, 0.196810, 5.650000
5.790000, -0.556381, 0.179302, 5.680000
5.820000, -0.531507, 0.162532, 5.710000
5.850000, -0.514650, 0.151770, 5.730000
5.880000, -0.488969, 0.136265, 5.760000
5.910000, -0.462834, 0.121537, 5.790000
5.940000, -0.436269, 0.107599, 5.820000
5.970000, -0.409299, 0.094465, 5.850000
6.000000, -0.381946, 0.082145, 5.880000
6.030000, -0.354236, 0.070652, 5.910000
6.060000, -0.326194, 0.059994, 5.940000
6.090000, -0.297845, 0.050183, 5.970000
6.120000, -0.269214, 0.041226, 6.000000
6.150000, -0.240327, 0.033133, 6.030000
6.180000, -0.211211, 0.025909, 6.060000
6.210000, -0.181891, 0.019562, 6.090000
6.240000, -0.152394, 0.014097, 6.120000
6.270000, -0.122747, 0.009520, 6.150000
6.300000, -0.092975, 0.005834, 6.180000
6.330000, -0.063106, 0.003042, 6.210000
