Thread, Chamada, T(k), Jitter(k)
Simulacao, 316, 0.010401, 0.000401
Simulacao, 317, 0.010200, 0.000200
Simulacao, 318, 0.010135, 0.000135
Simulacao, 319, 0.010145, 0.000145
Simulacao, 320, 0.010399, 0.000399
Simulacao, 321, 0.010403, 0.000403
Simulacao, 322, 0.010402, 0.000402
Simulacao, 323, 0.010399, 0.000399
Simulacao, 324, 0.010172, 0.000172
Simulacao, 325, 0.010287, 0.000287
Simulacao, 326, 0.010393, 0.000393
Simulacao, 327, 0.010212, 0.000212
Simulacao, 328, 0.010329, 0.000329
Simulacao, 329, 0.010118, 0.000118
Simulacao, 330, 0.010388, 0.000388
Simulacao, 331, 0.010403, 0.000403
Simulacao, 332, 0.010355, 0.000355
Simulacao, 333, 0.010401, 0.000401
Simulacao, 334, 0.010130, 0.000130
Simulacao, 335, 0.010406, 0.000406
Simulacao, 336, 0.010399, 0.000399
Simulacao, 337, 0.010277, 0.000277
Simulacao, 338, 0.010197, 0.000197
Simulacao, 339, 0.010195, 0.000195
Simulacao, 340, 0.010129, 0.000129
Simulacao, 341, 0.010192, 0.000192
Simulacao, 342, 0.010368, 0.000368
Simulacao, 343, 0.010254, 0.000254
Simulacao, 344, 0.010195, 0.000195
Simulacao, 345, 0.010427, 0.000427
Simulacao, 346, 0.010168, 0.000168
Simulacao, 347, 0.010397, 0.000397
Simulacao, 348, 0.010401, 0.000401
Simulacao, 349, 0.010377, 0.000377
Simulacao, 350, 0.010389, 0.000389
Simulacao, 351, 0.010408, 0.000408
Simulacao, 352, 0.010186, 0.000186
Simulacao, 353, 0.010182, 0.000182
Simulacao, 354, 0.010468, 0.000468
Simulacao, 355, 0.010129, 0.000129
Simulacao, 356, 0.010175, 0.000175
Simulacao, 357, 0.010402, 0.000402
Simulacao, 358, 0.010186, 0.000186
Simulacao, 359, 0.010405, 0.000405
Simulacao, 360, 0.010415, 0.000415
Simulacao, 361, 0.010397, 0.000397
Simulacao, 362, 0.010401, 0.000401
Simulacao, 363, 0.010185, 0.000185
Simulacao, 364, 0.010202, 0.000202
Simulacao, 365, 0.010405, 0.000405
Simulacao, 366, 0.010404, 0.000404
Simulacao, 367, 0.010397, 0.000397
Simulacao, 368, 0.010185, 0.000185
Simulacao, 369, 0.010405, 0.000405
Simulacao, 370, 0.010378, 0.000378
Simulacao, 371, 0.010405, 0.000405
Simulacao, 372, 0.010404, 0.000404
Simulacao, 373, 0.010145, 0.000145
Simulacao, 374, 0.010411, 0.000411
Simulacao, 375, 0.010189, 0.000189
Simulacao, 376, 0.010196, 0.000196
Simulacao, 377, 0.010338, 0.000338
Simulacao, 378, 0.010197, 0.000197
Simulacao, 379, 0.010397, 0.000397
Simulacao, 380, 0.010401, 0.000401
Simulacao, 381, 0.010186, 0.000186
Simulacao, 382, 0.010406, 0.000406
Simulacao, 383, 0.010400, 0.000400
Simulacao, 384, 0.010167, 0.000167
Simulacao, 385, 0.010360, 0.000360
Simulacao, 386, 0.010404, 0.000404
Simulacao, 387, 0.010167, 0.000167
Simulacao, 388, 0.010397, 0.000397
Simulacao, 389, 0.010224, 0.000224
Simulacao, 390, 0.010350, 0.000350
Simulacao, 391, 0.010402, 0.000402
Simulacao, 392, 0.010412, 0.000412
Simulacao, 393, 0.010386, 0.000386
Simulacao, 394, 0.010407, 0.000407
Simulacao, 395, 0.010416, 0.000416
Simulacao, 396, 0.010384, 0.000384
Simulacao, 397, 0.010181, 0.000181
Simulacao, 398, 0.010401, 0.000401
Simulacao, 399, 0.010342, 0.000342
Simulacao, 400, 0.010407, 0.000407
Simulacao, 401, 0.010386, 0.000386
Simulacao, 402, 0.010193, 0.000193
Simulacao, 403, 0.010401, 0.000401
Simulacao, 404, 0.010399, 0.000399
Simulacao, 405, 0.010398, 0.000398
Simulacao, 406, 0.010407, 0.000407
Simulacao, 407, 0.010187, 0.000187
Simulacao, 408, 0.010272, 0.000272
Simulacao, 409, 0.010405, 0.000405
Simulacao, 410, 0.010407, 0.000407
Simulacao, 411, 0.010180, 0.000180
Simulacao, 412, 0.010189, 0.000189
Simulacao, 413, 0.010170, 0.000170
Simulacao, 414, 0.010125, 0.000125
Simulacao, 415, 0.010396, 0.000396
