Tempo, Posicao X, Posicao Y, Orientacao
12.270000, -2.298243, 2.541983, 8.421416
12.300000, -2.314207, 2.567382, 8.402566
12.330000, -2.329690, 2.593077, 8.383717
12.360000, -2.344686, 2.619060, 8.364867
12.390000, -2.359190, 2.645320, 8.346018
12.420000, -2.373196, 2.671850, 8.327168
12.450000, -2.386699, 2.698638, 8.308319
12.480000, -2.395420, 2.716637, 8.295752
12.510000, -2.408076, 2.743836, 8.276903
12.540000, -2.420216, 2.771270, 8.258053
12.570000, -2.431837, 2.798927, 8.239204
12.600000, -2.442935, 2.826798, 8.220354
12.630000, -2.453506, 2.854874, 8.201505
12.660000, -2.463545, 2.883144, 8.182655
12.690000, -2.473050, 2.911598, 8.163805
12.720000, -2.482017, 2.940226, 8.144956
12.750000, -2.490443, 2.969018, 8.126106
12.780000, -2.498324, 2.997964, 8.107257
12.810000, -2.505659, 3.027053, 8.088407
12.840000, -2.512444, 3.056275, 8.069558
12.870000, -2.518677, 3.085620, 8.050708
12.900000, -2.524356, 3.115077, 8.031859
12.930000, -2.529478, 3.144636, 8.013009
12.960000, -2.534043, 3.174287, 7.994159
12.990000, -2.538047, 3.204018, 7.975310
13.020000, -2.541491, 3.233819, 7.956460
13.050000, -2.544373, 3.263680, 7.937611
13.080000, -2.546691, 3.293590, 7.918761
13.110000, -2.547923, 3.313552, 7.906195
13.140000, -2.549300, 3.343520, 7.887345
13.170000, -2.550112, 3.373508, 7.868496
13.200000, -2.550359, 3.403507, 7.849646
13.230000, -2.550041, 3.433505, 7.830797
13.260000, -2.549157, 3.463491, 7.811947
13.290000, -2.547708, 3.493456, 7.793098
13.320000, -2.545694, 3.523388, 7.774248
13.350000, -2.543117, 3.553277, 7.755398
13.380000, -2.539977, 3.583112, 7.736549
13.410000, -2.536275, 3.612882, 7.717699
13.440000, -2.532012, 3.642577, 7.698850
13.470000, -2.527191, 3.672187, 7.680000
13.500000, -2.521812, 3.701700, 7.661151
13.530000, -2.515878, 3.731107, 7.642301
13.560000, -2.509391, 3.760397, 7.623452
13.590000, -2.504760, 3.779853, 7.610885
13.620000, -2.497356, 3.808925, 7.592036
13.650000, -2.489406, 3.837852, 7.573186
13.680000, -2.480911, 3.866624, 7.554336
13.710000, -2.471876, 3.895230, 7.535487
13.740000, -2.462303, 3.923662, 7.516637
13.770000, -2.452196, 3.951907, 7.497788
13.800000, -2.441559, 3.979958, 7.478938
13.830000, -2.430394, 4.007802, 7.460089
13.860000, -2.418707, 4.035432, 7.441239
13.890000, -2.406501, 4.062836, 7.422390
13.920000, -2.393781, 4.090005, 7.403540
13.950000, -2.380550, 4.116930, 7.384690
13.980000, -2.366815, 4.143601, 7.365841
14.010000, -2.352580, 4.170007, 7.346991
14.040000, -2.342814, 4.187461, 7.334425
14.070000, -2.327756, 4.213408, 7.315575
14.100000, -2.312211, 4.239066, 7.296726
14.130000, -2.296186, 4.264427, 7.277876
14.160000, -2.279686, 4.289481, 7.259027
14.190000, -2.262716, 4.314220, 7.240177
14.220000, -2.245283, 4.338634, 7.221328
14.250000, -2.227393, 4.362716, 7.202478
14.280000, -2.209052, 4.386456, 7.183629
14.310000, -2.190267, 4.409846, 7.164779
14.340000, -2.171045, 4.432878, 7.145929
14.370000, -2.151392, 4.455544, 7.127080
14.400000, -2.131315, 4.477835, 7.108230
14.430000, -2.110821, 4.499743, 7.089381
14.460000, -2.089918, 4.521262, 7.070531
14.490000, -2.068614, 4.542383, 7.051682
14.520000, -2.046915, 4.563098, 7.032832
14.550000, -2.024829, 4.583401, 7.013983
14.580000, -2.002365, 4.603284, 6.995133
14.610000, -1.979530, 4.622740, 6.976283
14.640000, -1.964104, 4.635470, 6.963717
14.670000, -1.940669, 4.654199, 6.944867
14.700000, -1.916885, 4.672483, 6.926018
14.730000, -1.892761, 4.690315, 6.907168
14.760000, -1.868305, 4.707690, 6.888319
14.790000, -1.843526, 4.724601, 6.869469
14.820000, -1.818432, 4.741041, 6.850620
14.850000, -1.793033, 4.757006, 6.831770
14.880000, -1.767338, 4.772489, 6.812921
14.910000, -1.741355, 4.787485, 6.794071
14.940000, -1.715095, 4.801988, 6.775221
14.970000, -1.688565, 4.815994, 6.756372
15.000000, -1.661777, 4.829498, 6.737522
15.030000, -1.634738, 4.842494, 6.718673
15.060000, -1.607460, 4.854978, 6.699823
15.090000, -1.579951, 4.866946, 6.680974
15.120000, -1.552221, 4.878394, 6.662124
15.150000, -1.524281, 4.889316, 6.643275
15.180000, -1.505541, 4.896304, 6.630708
15.210000, -1.477271, 4.906344, 6.611859
15.240000, -1.448817, 4.915849, 6.593009
15.270000, -1.420189, 4.924816, 6.574160
15.300000, -1.391397, 4.933242, 6.555310
15.330000, -1.362451, 4.941123, 6.536460
15.360000, -1.333362, 4.948458, 6.517611
15.390000, -1.304140, 4.955243, 6.498761
15.420000, -1.274795, 4.961476, 6.479912
15.450000, -1.245338, 4.967154, 6.461062
15.480000, -1.215779, 4.972277, 6.442213
15.510000, -1.186128, 4.976841, 6.423363
15.540000, -1.156397, 4.980846, 6.404514
15.570000, -1.126596, 4.984290, 6.385664
15.600000, -1.096735, 4.987171, 6.366814
15.630000, -1.066825, 4.989489, 6.347965
15.660000, -1.046863, 4.990721, 6.335399
15.690000, -1.016895, 4.992099, 6.316549
15.720000, -0.986907, 4.992911, 6.297699
15.750000, -0.956908, 4.993158, 6.278850
15.780000, -0.926910, 4.992839, 6.260000
15.810000, -0.896924, 4.991955, 6.241151
15.840000, -0.866959, 4.990506, 6.222301
15.870000, -0.837027, 4.988493, 6.203452
15.900000, -0.807138, 4.985916, 6.184602
15.930000, -0.777304, 4.982775, 6.165753
15.960000, -0.747533, 4.979073, 6.146903
15.990000, -0.717838, 4.974811, 6.128053
16.020000, -0.688228, 4.969990, 6.109204
16.050000, -0.658715, 4.964611, 6.090354
16.080000, -0.629308, 4.958677, 6.071505
16.110000, -0.600018, 4.952190, 6.052655
16.140000, -0.570856, 4.945152, 6.033806
16.170000, -0.541831, 4.937565, 6.014956
16.200000, -0.522563, 4.932204, 6.002390
16.230000, -0.493792, 4.923710, 5.983540
16.260000, -0.465185, 4.914675, 5.964691
16.290000, -0.436754, 4.905102, 5.945841
16.320000, -0.408508, 4.894995, 5.926991
16.350000, -0.380458, 4.884357, 5.908142
16.380000, -0.352613, 4.873193, 5.889292
16.410000, -0.324983, 4.861505, 5.870443
16.440000, -0.297579, 4.849300, 5.851593
16.470000, -0.270410, 4.836579, 5.832744
16.500000, -0.243485, 4.823349, 5.813894
16.530000, -0.216815, 4.809614, 5.795045
16.560000, -0.190408, 4.795378, 5.776195
16.590000, -0.164274, 4.780647, 5.757345
16.620000, -0.138422, 4.765427, 5.738496
16.650000, -0.112862, 4.749721, 5.719646
16.680000, -0.087602, 4.733537, 5.700797
16.710000, -0.070934, 4.722484, 5.688230
16.740000, -0.046195, 4.705515, 5.669381
16.770000, -0.021781, 4.688082, 5.650531
16.800000, 0.002301, 4.670192, 5.631682
16.830000, 0.026041, 4.651851, 5.612832
16.860000, 0.049431, 4.633066, 5.593983
16.890000, 0.072463, 4.613843, 5.575133
16.920000, 0.095129, 4.594190, 5.556284
16.950000, 0.117420, 4.574113, 5.537434
16.980000, 0.139328, 4.553620, 5.518584
17.010000, 0.160847, 4.532717, 5.499735
17.040000, 0.181968, 4.511412, 5.480885
17.070000, 0.202683, 4.489713, 5.462036
17.100000, 0.222986, 4.467628, 5.443186
17.130000, 0.242869, 4.445163, 5.424337
17.160000, 0.262325, 4.422328, 5.405487
17.190000, 0.281347, 4.399130, 5.386638
17.220000, 0.299928, 4.375578, 5.367788
17.250000, 0.318062, 4.351680, 5.348938
17.280000, 0.329900, 4.335560, 5.336372
17.310000, 0.347275, 4.311104, 5.317523
17.340000, 0.364186, 4.286325, 5.298673
